athlete_code,stage_code,result_rank,result,result_type
1543305,SWMW400MIM------------HEAT000200--,4.0,4:39.97,TIME
1946189,SWMW400MIM------------HEAT000200--,5.0,4:40.55,TIME
1897309,SWMW400MIM------------HEAT000200--,6.0,4:41.64,TIME
1954824,SWMW400MIM------------HEAT000200--,7.0,4:43.13,TIME
1891636,SWMW400MIM------------HEAT000200--,8.0,4:43.18,TIME
1967140,SWMW400MIM------------FNL-000100--,1.0,4:27.71,TIME
1935909,SWMW400MIM------------FNL-000100--,2.0,4:33.40,TIME
1936001,SWMW400MIM------------FNL-000100--,3.0,4:34.93,TIME
1903541,SWMW400MIM------------FNL-000100--,4.0,4:35.67,TIME
1946174,SWMW400MIM------------FNL-000100--,5.0,4:38.01,TIME
1891624,SWMW400MIM------------FNL-000100--,6.0,4:38.83,TIME
1903622,SWMW400MIM------------FNL-000100--,7.0,4:40.17,TIME
1543305,SWMW400MIM------------FNL-000100--,8.0,4:40.70,TIME
1537002,SWMW50MFR-------------HEAT000100--,1.0,33.01,TIME
1908609,SWMW50MFR-------------HEAT000100--,2.0,33.66,TIME
1536175,SWMW50MFR-------------HEAT000100--,3.0,33.69,TIME
1929297,SWMW50MFR-------------HEAT000100--,4.0,34.95,TIME
1559158,SWMW50MFR-------------HEAT000100--,5.0,37.55,TIME
1949477,SWMW50MFR-------------HEAT000100--,6.0,42.87,TIME
4665280,SWMW50MFR-------------HEAT000100--,7.0,44.10,TIME
1533209,SWMW50MFR-------------HEAT000200--,1.0,29.60,TIME
1537272,SWMW50MFR-------------HEAT000200--,2.0,30.33,TIME
1949944,SWMW50MFR-------------HEAT000200--,3.0,30.98,TIME
1932660,SWMW50MFR-------------HEAT000200--,4.0,31.87,TIME
4682465,SWMW50MFR-------------HEAT000200--,5.0,31.90,TIME
4678565,SWMW50MFR-------------HEAT000200--,6.0,32.03,TIME
1541601,SWMW50MFR-------------HEAT000200--,7.0,32.48,TIME
1966493,SWMW50MFR-------------HEAT000200--,8.0,32.50,TIME
1977618,SWMW50MFR-------------HEAT000300--,1.0,29.63,TIME
4678919,SWMW50MFR-------------HEAT000300--,2.0,29.78,TIME
1917121,SWMW50MFR-------------HEAT000300--,3.0,29.91,TIME
4352676,SWMW50MFR-------------HEAT000300--,4.0,29.99,TIME
1888113,SWMW50MFR-------------HEAT000300--,5.0,30.33,TIME
